drug_id,name,units
131,Chloramphenicol (125mg tablet),tab(s)
132,Chloramphenicol (250mg capsule),tab(s)
133,Chloramphenicol eye ointment (5mg tube),application
134,Chloramphenicol Sodium (1g ampulle),g
135,Chlorphenamine (10 mg ampulle),tab(s)
136,Chlorphenamine (100mg tablet),tab(s)
137,Chlorphenamine (25mg tablet),tab(s)
139,Chlorphenamine (50mg tablet),tab(s)
140,Chlorpromazine (100mg tablet),tab(s)
141,Chlorpromazine (25mg tablet),tab(s)
142,Chlorpromazine (50mg tablet),tab(s)
143,Cimetidine (200mg tablet),tab(s)
144,Cimetidine (400mg tablet),tab(s)
145,Ciprofloxacin ear/eye drops (5ml bottle),drop(s)
146,Clotrimazole Cream 1% (20g tube),application
147,Cloxacillin (125mg suspension),tab(s)
148,Cloxacillin (250mg tablet),tab(s)
149,Cloxacillin (250mg capsule),tab(s)
150,Cloxacillin (500mg capsule),tab(s)
152,Dapsone (100mg tablet),tab(s)
153,Diazepam 5mg/ml (2ml ampulle),ml
154,Diazepam (5mg tablet),tab(s)
155,Diclofenac Sodium (50mg tablet),tab(s)
156,Diclofenac injection (25mg),mg (injection)
157,Dihydrocodeine (30mg tablet),tab(s)
158,Doxycycline (100mg capsule),tab(s)
159,Erythromycin (125mg/5ml suspension),ml
160,Erythromycin (250mg tablet),tab(s)
161,Ferrous sulphate + folic acid (200mg+250mcg tablet,tab(s)
162,Ferrous sulphate (200mg tablet),tab(s)
163,Folic Acid (5mg tablet),tab(s)
164,Furosemide (40mg tablet),tab(s)
165,Gentamicine 0.3% Eye Drops (1nl),drop(s)
166,Gentamicine (40mg ampulle),tab(s)
167,Hydralazine (25mg tablet),tab(s)
168,Hydrochlorothiazide (25mg tablet),tab(s)
169,Hydrocortisone acetate 25mg/ml,ml
170,Hydrocortisone Cream 1% (15g tube),application
171,Ibuprofen (100mg capsule),tab(s)
172,Ibuprofen (200mg tablet),tab(s)
173,Ibuprofen (400mg tablet),tab(s)
174,Imipramine Hcl (25mg tablet),tab(s)
175,Indomethacin (25mg capsule),tab(s)
176,Ketoconazole (200mg tablet),tab(s)
177,Lamivudine (5ml bottle),ml
178,Loperamide HCl (2mg tablet),tab(s)
